id,reference,name,strain,media,temperature,lifespans,,,,,,,,,,,,,,,,,,,
1,6,whi5,JD156,YPD,30,3,23,20,22,15,13,16,25,18,26,29,12,13,26,40,17,17,10,21,26
2,6,rpl20b,JD288,YPD,30,43,32,55,53,40,42,32,9,35,6,4,21,38,47,23,49,38,49,31,58
3,6,rpl37b,KS1986,YPD,30,21,39,23,43,16,31,13,32,23,9,22,30,34,26,26,18,10,27,31,17
4,6,whi5 rpl20b,JD218,YPD,30,21,44,24,19,56,48,14,44,42,27,49,7,14,33,49,59,63,25,15,24
5,6,whi5 rpl37b,JD166,YPD,30,52,51,48,57,16,32,40,26,47,4,26,42,14,35,21,22,25,48,29,63
6,6,Wild Type,LF960,YPD,30,18,29,20,45,40,24,8,13,14,13,17,15,24,14,33,16,16,34,9,19
7,6,sch9,JD186,YPD,30,42,19,49,60,41,25,32,41,45,30,15,24,31,22,37,25,43,32,29,44
8,6,sch9,JD186,YPD,30,43,42,46,48,37,36,34,11,43,14,38,33,60,27,37,22,39,8,13,28
9,6,whi5 sch9,JD181,YPD,30,34,8,37,44,9,52,33,55,42,9,44,21,50,9,11,34,47,57,28,37
10,6,whi5 sch9,JD183,YPD,30,24,18,22,5,4,23,13,22,37,16,43,26,12,23,23,17,21,8,52,27
11,6,tif1,GS124,YPD,30,28,36,12,16,24,26,26,21,16,14,21,33,18,23,19,12,21,30,21,29
12,6,tif1,GS124,YPD,30,19,19,26,15,44,23,22,23,17,26,30,18,14,23,17,16,29,14,23,24
13,6,Wild Type,LF960,YPD,30,28,22,21,26,20,24,19,34,28,29,18,21,12,18,23,10,20,18,14,25
14,6,whi5 tif1,JD168,YPD,30,30,16,33,2,38,11,6,12,15,14,18,15,12,11,10,8,12,20,31,52
15,6,whi5 tif1,JD169,YPD,30,29,22,29,41,32,45,34,18,10,25,33,6,21,25,12,37,20,10,28,45
16,6,whi5,JD157,YPD,30,28,30,17,6,26,18,27,15,13,31,26,25,25,22,24,22,22,15,14,31
17,6,tor1,GS1827,YPD,30,49,46,36,26,33,47,36,32,48,21,24,12,24,25,15,18,24,32,37,31
18,6,tor1,GS1827,YPD,30,25,45,15,31,17,24,21,24,21,18,28,44,42,16,19,53,20,26,27,21
19,6,whi5 tor1,JD170,YPD,30,21,24,27,48,21,26,41,44,22,44,62,7,18,16,13,37,50,27,22,24
20,6,whi5 tor1,JD173,YPD,30,42,38,16,30,56,16,25,40,40,24,20,30,20,33,49,15,15,21,17,18
21,6,fob1,GS11,YPD,30,14,4,27,31,12,11,18,26,25,49,31,41,41,32,29,30,32,33,20,27
22,6,fob1,GS11,YPD,30,28,21,19,25,3,44,22,23,33,1,18,10,17,2,26,40,32,14,12,33
23,6,whi5 fob1,JD212,YPD,30,7,17,10,11,42,10,18,6,13,14,23,41,26,51,7,17,16,24,31,2
24,6,whi5 fob1,JD213,YPD,30,25,20,22,20,20,20,9,18,20,6,20,24,21,16,12,33,21,5,24,28
25,6,sir2 fob1,KK144,YPD,30,31,28,7,21,19,27,32,19,22,26,21,29,32,49,28,15,22,23,27,63
26,6,sir2 fob1 WHI5OX,JD548,YPD,30,20,20,31,34,9,28,14,25,42,13,16,20,26,27,24,19,8,16,24,24
27,6,sir2 fob1 WHI5OX,JD549,YPD,30,10,26,25,26,10,20,20,42,13,13,38,11,22,36,8,29,33,9,45,27
28,6,sir2 fob1,KK144,YPD,30,14,39,15,23,5,17,20,42,21,26,13,16,23,10,20,19,6,31,18,30
29,6,sir2 fob1 WHI5OX,JD550,YPD,30,16,21,25,35,26,20,30,17,29,30,50,21,32,19,22,17,34,16,27,19
30,6,sir2 fob1 WHI5OX,JD551,YPD,30,27,25,7,13,28,19,15,18,20,26,21,18,31,23,14,11,21,23,26,34
