id,reference,label,strain,media,temperature,cell_count,end_lost,omit_count,end_single,end_small_bud,end_large_bud,end_cluster,lifespans
1,"","BY","ST2664","YPD",30,20,0,0,11,7,0,2,22|cluster,33|single,43|single,38|small bud,36|single,33|cluster,38|small bud,35|small bud,28|single,10|single,32|single,27|small bud,48|single,34|small bud,32|single,22|single,53|single,27|small bud,23|single,36|small bud,
2,"","BY","ST2664","YPD",30,20,0,0,15,1,3,1,26|large bud,25|cluster,48|single,38|single,27|single,24|single,35|single,23|large bud,45|single,29|single,47|single,43|single,42|single,39|large bud,29|single,20|single,50|single,17|single,31|single,35|small bud,
3,"1, 2","BY sml1KO","ST2665","YPD",30,20,0,0,12,3,2,3,49|single,46|large bud,48|single,34|small bud,24|single,29|single,33|single,24|single,29|cluster,24|single,39|single,30|single,47|small bud,24|single,33|single,46|single,3|large bud,51|cluster,33|cluster,37|small bud,
4,"1, 2","BY sml1KO","ST2665","YPD",30,20,0,0,17,0,1,2,48|single,16|cluster,36|single,26|single,39|single,38|single,25|single,35|single,47|single,30|single,11|single,32|large bud,35|single,35|single,46|single,38|cluster,41|single,11|single,43|single,47|single,
5,"1, 2","BY sml1KO mec1KO","ST2666","YPD",30,20,0,0,10,3,4,3,3|large bud,10|single,8|cluster,3|single,7|single,10|single,14|cluster,4|single,30|cluster,13|small bud,4|single,16|small bud,39|single,1|large bud,37|single,3|large bud,1|single,46|small bud,20|single,3|large bud,
6,"1, 2","BY sml1KO mec1KO","ST2666","YPD",30,20,0,0,8,5,4,3,9|cluster,11|single,30|small bud,44|small bud,30|cluster,46|single,25|single,6|single,26|single,39|single,16|small bud,7|small bud,24|single,3|cluster,21|small bud,17|large bud,4|large bud,5|large bud,30|single,6|large bud,
7,"1, 2","BY RM rDNA (backcross #10)","ST2667","YPD",30,20,0,0,10,4,4,2,51|single,23|small bud,10|single,45|large bud,6|large bud,40|small bud,27|single,56|cluster,48|cluster,11|single,47|single,36|single,51|single,15|single,35|large bud,22|large bud,26|small bud,46|single,35|small bud,40|single,
8,"1, 2","BY RM rDNA (backcross #10)","ST2667","YPD",30,20,0,0,17,1,2,0,44|single,48|single,36|small bud,23|single,45|single,54|single,31|large bud,41|single,39|single,49|single,24|single,48|single,32|single,49|single,41|single,50|single,56|single,56|single,13|single,51|large bud,
9,"1, 2","BY  RM rDNA sml1KO","ST2668","YPD",30,20,0,0,17,2,1,0,36|small bud,46|single,35|single,48|single,51|single,19|single,53|single,47|single,38|large bud,37|single,35|single,39|single,22|single,60|single,28|single,53|single,56|single,39|small bud,40|single,33|single,
10,"1, 2","BY  RM rDNA sml1KO","ST2668","YPD",30,20,0,0,15,1,3,1,38|single,39|single,49|single,48|single,53|single,49|single,31|large bud,34|large bud,47|single,43|single,48|single,41|single,35|cluster,44|large bud,48|single,7|single,48|single,40|single,50|single,25|small bud,
11,"1, 2","BY RM rDNA sml1KO mec1KO","ST2669","YPD",30,20,0,0,5,7,4,4,21|small bud,17|small bud,23|large bud,33|small bud,12|cluster,5|large bud,10|cluster,33|cluster,17|single,4|large bud,48|single,11|single,15|small bud,3|large bud,8|single,31|small bud,3|small bud,7|cluster,49|single,16|small bud,
12,"1, 2","BY RM rDNA sml1KO mec1KO","ST2669","YPD",30,20,0,0,10,6,4,0,5|single,4|large bud,32|small bud,42|single,3|small bud,12|small bud,36|large bud,3|large bud,4|single,39|single,3|large bud,7|small bud,24|single,12|small bud,46|single,6|single,10|single,18|small bud,23|single,14|single,
13,"1, 2","BY wild rDNA (DBVPG6765) backcross #8","ST2674","YPD",30,20,0,0,15,1,1,3,57|single,43|single,43|single,49|single,49|small bud,48|single,42|single,39|single,39|cluster,47|single,33|cluster,55|single,14|single,37|cluster,52|single,43|single,49|single,53|single,47|single,35|large bud,
14,"1, 2","BY wild rDNA (DBVPG6765) backcross #8","ST2674","YPD",30,20,0,0,18,0,1,1,19|single,37|cluster,41|single,44|single,41|single,50|single,48|single,46|single,19|single,43|large bud,29|single,57|single,39|single,37|single,53|single,17|single,24|single,41|single,20|single,33|single,
15,"1, 2","BY wild rDNA (DBVPG6765) backcross #8","ST2675","YPD",30,20,0,0,14,2,4,0,26|small bud,5|single,50|single,22|large bud,53|single,28|single,56|single,30|large bud,24|single,19|single,47|single,52|single,38|single,16|single,47|single,16|large bud,15|large bud,16|single,42|small bud,44|single,
16,"1, 2","BY wild rDNA (DBVPG6765) backcross #8","ST2675","YPD",30,20,0,0,16,2,2,0,12|single,31|small bud,56|single,11|large bud,21|single,18|large bud,35|single,41|single,51|single,30|single,32|small bud,50|single,43|single,50|single,30|single,33|single,16|single,10|single,46|single,34|single,
17,"1, 2","BY wild rDNA (DBVPG6765) backcross #8","ST2676","YPD",30,20,0,0,17,0,2,1,46|single,40|single,55|single,51|single,48|single,35|single,17|large bud,53|single,50|single,24|single,48|single,33|cluster,47|single,40|single,14|large bud,43|single,41|single,51|single,45|single,51|single,
18,"1, 2","BY wild rDNA (DBVPG6765) backcross #8","ST2676","YPD",30,20,0,0,18,1,1,0,54|single,34|single,37|single,24|small bud,49|single,51|single,32|single,29|single,51|large bud,32|single,53|single,39|single,52|single,53|single,54|single,36|single,43|single,37|single,17|single,58|single,
19,"1, 2","BY wild rDNA (DBVPG6765) backcross #8","ST2677","YPD",30,20,0,0,13,2,2,3,49|single,35|cluster,22|cluster,3|single,46|large bud,25|small bud,33|single,28|large bud,44|small bud,46|single,47|single,44|single,45|single,51|single,48|cluster,50|single,54|single,43|single,47|single,48|single,
20,"1, 2","BY wild rDNA (DBVPG6765) backcross #8","ST2677","YPD",30,20,0,0,17,1,2,0,52|single,16|large bud,46|single,44|single,49|single,28|single,26|single,38|single,38|large bud,53|single,35|single,42|single,44|small bud,36|single,45|single,52|single,43|single,30|single,50|single,37|single,
21,"1, 2","BY wild rDNA (L_1374) backcross #8","ST2678","YPD",30,20,0,0,18,1,0,1,31|single,27|single,49|single,7|single,48|single,47|single,31|single,20|small bud,53|single,22|single,47|single,44|cluster,49|single,52|single,47|single,53|single,28|single,13|single,24|single,34|single,
22,"1, 2","BY wild rDNA (L_1374) backcross #8","ST2678","YPD",30,20,0,0,14,3,3,0,44|single,31|small bud,46|single,36|single,40|single,3|large bud,55|single,49|small bud,42|single,50|single,34|single,55|single,43|small bud,44|single,43|single,41|large bud,53|single,20|large bud,53|single,51|single,
23,"1, 2","BY wild rDNA (L_1374) backcross #8","ST2679","YPD",30,20,0,0,15,3,1,1,40|single,44|large bud,14|single,28|cluster,44|small bud,27|single,44|single,35|single,42|single,36|single,54|single,46|single,46|single,7|single,41|single,55|single,75|single,46|small bud,46|single,43|small bud,
24,"1, 2","BY wild rDNA (L_1374) backcross #8","ST2679","YPD",30,20,0,0,12,5,1,2,33|single,51|single,44|single,33|small bud,48|single,26|single,49|single,17|cluster,48|single,29|cluster,43|single,21|single,46|small bud,18|single,21|large bud,16|small bud,27|small bud,26|small bud,14|single,30|single,
25,"1, 2","BY wild rDNA (L_1374) backcross #8","ST2680","YPD",30,20,0,0,16,2,0,2,44|single,43|cluster,29|single,31|single,23|single,50|single,35|single,55|single,52|single,51|single,45|single,51|single,50|small bud,39|small bud,46|cluster,44|single,49|single,51|single,47|single,44|single,
26,"1, 2","BY wild rDNA (L_1374) backcross #8","ST2680","YPD",30,20,0,0,19,0,1,0,42|single,33|single,35|single,41|single,31|single,47|single,44|single,47|single,36|single,28|single,50|single,46|single,48|single,51|large bud,52|single,52|single,49|single,49|single,36|single,39|single,
27,"1, 2","BY wild rDNA (L_1374) backcross #8","ST2681","YPD",30,20,0,0,18,1,1,0,25|single,48|single,30|small bud,11|single,55|single,32|single,24|single,29|single,48|single,20|single,44|single,39|single,20|single,23|single,42|single,27|single,2|single,31|large bud,29|single,17|single,
28,"1, 2","BY wild rDNA (L_1374) backcross #8","ST2681","YPD",30,20,0,0,18,0,2,0,44|single,35|single,32|single,17|single,48|single,34|single,45|single,36|single,37|single,3|large bud,3|single,43|single,53|single,18|single,36|single,41|single,43|single,43|single,52|single,43|large bud,
