shortGenotype,media,background,matingType,reference,comment
wild type     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
aac1     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
aac3     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
abp1     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
aco1     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
acp1     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
act1     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
adh1     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,Not long-lived when remade; original strain diploid
adh2     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
adh3     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
adh5     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
afg3     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
aga1     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
agc1     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
akl1     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
akr1     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
alg12     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
alg9     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
anb1     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
ark1     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
arp1     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
arp2     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
arp3     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
arp4     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
asf1     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
atg1     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
atp1     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
atp2     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
atp4     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
atp5     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
avo2     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
ayr1     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
bbc1     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
bcy1     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
bpt1     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
bsc1     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
bug1     ,,BY4742,alpha,Smith Kennedy 2008 Genome Research,
